,Республика Карелия,Северо-Западный федеральный округ
,Свердловская область,Уральский федеральный округ
Екатеринбург
     Нижний Тагил - 379,7
     Каменск-Уральский -182,5
     Первоуральск - 132,
     Серов - 98,0
     Новоуральск -
     Асбест - 72,8
     Полевской - 6
     Краснотурьинск
     Ревда - 61,9  
     Верхняя Пышма 
     Лесной - 53,2 
     Верхняя Салда 
     Березовский - 
     Качканар - 43,
     Алапаевск - 42
     Ирбит - 42,1  
     Красноуфимск -
     Реж - 39,3    
     Тавда - 39,1  
     Сухой лог - 35
     Артемовский - 3
     Кушва - 33,9   
     Североуральск - 33,0 
,Тюменская область,Уральский федеральный округ
Тюмень
Тобольск
Ишим
Ялуторовск
,Челябинская область,Уральский федеральный округ
Челябинск
Магнитогорск
Златоуст
Миасс
Копейск
,Ханты-Мансийский автономный округ,Уральский федеральный округ
,Ямало-Ненецкий автономный округ,Уральский федеральный округ
,Республика Башкортостан,Приволжский федеральный округ
,Республика Марий Эл,Приволжский федеральный округ
,Республика Мордовия,Приволжский федеральный округ
,Республика Татарстан,Приволжский федеральный округ
,Удмуртская Республика,Приволжский федеральный округ
,Чувашская Республика,Приволжский федеральный округ
,Кировская область,Приволжский федеральный округ
,Нижегородская область,Приволжский федеральный округ
,Оренбургская область,Приволжский федеральный округ
,Пензенская область,Приволжский федеральный округ
,Ульяновская область,Приволжский федеральный округ
,Самарская область,Приволжский федеральный округ
,Саратовская область,Приволжский федеральный округ
,Пермский край,Приволжский федеральный округ
,Республика Дагестан,Северо-Кавказский федеральный округ
,Республика Ингушетия,Северо-Кавказский федеральный округ
,Кабардино-Балкарская Республика,Северо-Кавказский федеральный округ
,Карачаево-Черкесская Республика,Северо-Кавказский федеральный округ
,Республика Северная Осетия,Северо-Кавказский федеральный округ
,Чеченская Республика,Северо-Кавказский федеральный округ
,Ставропольский край,Северо-Кавказский федеральный округ
